year	atun_aletazul_usa
1950	1242
1951	1752
1952	2076
1953	4433
1954	9537
1955	6173
1956	5727
1957	9215
1958	13934
1959	7492
1960	6010
1961	9942
1962	14706
1963	14198
1964	10891
1965	7576
1966	16140
1967	6523
1968	6124
1969	7232
1970	4100
1971	8000
1972	11500
1973	9000
1974	5451
1975	7424
1976	8525
1977	5888
1978	4671
1979	5467
1980	2276
1981	876
1982	2419
1983	760
1984	683
1985	3205
1986	4559
1987	797
1988	777
1989	949
1990	1334
1991	362
1992	1066
1993	552
1994	919
1995	23
1996	27
1997	23
1998	16
1999	10
2000	4
2001	122
2002	32
