year	atun_rojo_pacifico_usa
1950	575
1951	799
1952	256
1953	882
1954	648
1955	406
1956	208
1957	454
1958	1123
1959	1278
1960	637
1961	1074
1962	3209
1963	4541
1964	2907
1965	2093
1966	1119
1967	1940
1968	807
1969	1226
1970	2900
1971	2300
1972	2000
1973	1400
1974	1089
1975	2217
1976	1838
1977	1809
1978	1539
1979	1202
1980	1344
1981	1215
1982	523
1983	1211
1984	1137
1985	1157
1986	165
1987	973
1988	775
1989	1119
1990	1042
1991	736
1992	913
1993	981
1994	1019
1995	869
1996	894
1997	1006
1998	1035
1999	1024
2000	1083
2001	1209
2002	1176
2003	912
2004	457
2005	474
2006	227
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
